preco;valor_m2;quartos;suites;vagas;espaco;latitude;longitude
1150000.0;8394.0;1;2;2;137.0;-15.84067;-48.02206
382000.0;7074.0;2;0;0;54.0;-15.830234983391;-48.01624497772
289000.0;9322.0;1;1;1;31.0;-15.841842667042;-48.021175574139
510000.0;7968.0;2;1;1;64.0;-15.84067;-48.02206
1600000.0;6986.0;3;2;2;229.0;-15.837135007995;-48.029319992303
930000.0;6503.0;4;2;2;143.0;-15.837135007995;-48.029319992303
665000.0;8986.0;2;1;1;74.0;-15.839140708117;-48.026817125194
530000.0;9814.0;2;1;1;54.0;-15.836122270133;-48.040183520072
635000.0;8466.0;1;1;1;75.0;-15.838349985815;-48.023145002324
549000.0;8073.0;3;2;2;68.0;-15.84060973365;-48.027706587243
760000.0;8260.0;3;2;2;92.0;-15.84067;-48.02206
650000.0;6770.0;3;2;2;96.0;-15.839115002118;-48.02592502815
1330000.0;9236.0;4;3;3;144.0;-15.84067;-48.02206
3200000.0;13617.0;4;4;4;235.0;-15.83673500262;-48.032885025271
450000.0;10000.0;1;1;1;45.0;-15.83605;-48.01953
1750000.0;8620.0;4;3;3;203.0;-15.841727311452;-48.025870457665
1200000.0;8888.0;4;2;2;135.0;-15.84067;-48.02206
2150000.0;6904.0;4;4;4;311.0;-15.83939895395;-48.014465370993
1200000.0;9375.0;4;2;2;128.0;-15.838701645321;-48.036807093913
1100000.0;5962.0;4;3;3;184.0;-15.84067;-48.02206
730000.0;8165.0;3;2;2;89.0;-15.844959835383;-48.027943339188
459000.0;7403.0;2;1;1;62.0;-15.832470870366;-48.010341468159
1370000.0;8287.0;4;4;4;165.0;-15.84067;-48.02206
520000.0;8125.0;2;1;1;64.0;-15.84067;-48.02206
875000.0;9510.0;3;2;2;92.0;-15.84067;-48.02206
735000.0;7903.0;3;2;2;93.0;-15.835195016505;-48.015859996907
715000.0;7771.0;3;2;2;92.0;-15.83232;-48.01296
615000.0;9995.0;2;1;1;61.0;-15.842330006809;-48.028835015385
634638.0;10236.0;2;1;1;62.0;-15.838701645321;-48.036807093913
1165000.0;9101.0;4;2;2;128.0;-15.84067;-48.02206
1570000.0;10753.0;4;3;3;146.0;-15.84060973365;-48.027706587243
330000.0;7333.0;2;0;0;45.0;-15.830976955297;-48.011021404263
600000.0;8571.0;3;2;2;70.0;-15.84067;-48.02206
385000.0;6111.0;2;1;1;63.0;-15.854516826001;-48.031983464489
348000.0;9157.0;1;0;0;38.0;-15.838701645321;-48.036807093913
800000.0;8333.0;3;2;2;96.0;-15.837664995733;-48.031239992953
725000.0;7038.0;3;2;2;103.0;-15.84060973365;-48.027706587243
890000.0;9368.0;2;1;1;95.0;-15.841842667042;-48.021175574139
760000.0;8351.0;2;2;2;91.0;-15.838701645321;-48.036807093913
850000.0;8673.0;3;2;2;98.0;-15.84067;-48.02206
3200000.0;13617.0;4;4;4;235.0;-15.835687747487;-48.031560570408
660000.0;10819.0;2;1;1;61.0;-15.838701645321;-48.036807093913
320000.0;9696.0;1;0;0;33.0;-15.83455;-48.03885
1310000.0;10000.0;2;2;2;131.0;-15.843415626518;-48.024210171831
790000.0;8229.0;3;2;2;96.0;-15.839758276622;-48.03437398531
650000.0;6310.0;3;2;2;103.0;-15.84067;-48.02206
610000.0;8714.0;3;2;2;70.0;-15.839793783435;-48.035433039244
870000.0;9062.0;3;2;2;96.0;-15.843075011318;-48.028464996269
460000.0;9200.0;2;1;1;50.0;-15.836918381182;-48.039159954942
650000.0;9285.0;3;2;2;70.0;-15.84067;-48.02206
650000.0;7065.0;3;2;2;92.0;-15.84067;-48.02206
525000.0;8750.0;2;1;1;60.0;-15.841920228821;-48.029991698267
685000.0;9256.0;2;1;1;74.0;-15.844959835383;-48.027943339188
935000.0;10274.0;2;2;2;91.0;-15.838701645321;-48.036807093913
250000.0;7352.0;1;0;0;34.0;-15.84067;-48.02206
770000.0;7549.0;2;2;2;102.0;-15.84067;-48.02206
630000.0;9402.0;2;1;1;67.0;-15.833969561015;-48.036708072058
865000.0;8480.0;3;2;2;102.0;-15.84067;-48.02206
999000.0;7571.0;4;3;3;131.0;-15.84060973365;-48.027706587243
749000.0;6570.0;4;2;2;114.0;-15.84067;-48.02206
625000.0;8445.0;2;2;2;74.0;-15.836122270133;-48.040183520072
520000.0;8125.0;3;2;2;64.0;-15.84067;-48.02206
955000.0;10730.0;3;2;2;89.0;-15.837371178171;-48.038556163428
999000.0;8394.0;3;2;2;119.0;-15.84060973365;-48.027706587243
325000.0;4642.0;2;2;2;70.0;-15.869146300872;-48.027001381243
950000.0;6551.0;4;2;2;145.0;-15.837135007995;-48.029319992303
385000.0;10131.0;1;1;1;38.0;-15.843219480939;-48.022248736307
790000.0;7452.0;4;2;2;106.0;-15.835195016505;-48.015859996907
950000.0;6234.0;4;0;0;152.0;-15.837135007995;-48.029319992303
1550000.0;10000.0;3;3;3;155.0;-15.84067;-48.02206
546000.0;10111.0;2;1;1;54.0;-15.844604958131;-48.032664723176
840000.0;5675.0;3;2;2;148.0;-15.841065009982;-48.025935002615
680000.0;8192.0;3;2;2;83.0;-15.836631976279;-48.042906345641
848900.0;7074.0;4;2;2;120.0;-15.827749571353;-48.029059288268
849000.0;7718.0;3;2;2;110.0;-15.84067;-48.02206
745000.0;9085.0;3;2;2;82.0;-15.844432049564;-48.026566190314
1070.0;8.0;4;3;3;124.0;-15.836200006696;-48.033500005507
310000.0;9393.0;1;1;1;33.0;-15.838701645321;-48.036807093913
235000.0;7121.0;1;0;0;33.0;-15.84067;-48.02206
1200000.0;9230.0;3;2;2;130.0;-15.843415626518;-48.024210171831
340000.0;10513.0;1;1;1;32.0;-15.84067;-48.02206
235000.0;7121.0;1;0;0;33.0;-15.84067;-48.02206
280000.0;10000.0;1;1;1;28.0;-15.84067;-48.02206
745000.0;9085.0;3;2;2;82.0;-15.838701645321;-48.036807093913
1980000.0;9658.0;4;4;4;205.0;-15.841345122238;-48.019032846386
1290000.0;8269.0;5;4;4;156.0;-15.84067;-48.02206
580000.0;7733.0;2;1;1;75.0;-15.833969561015;-48.036708072058
780000.0;7090.0;4;2;2;110.0;-15.835195016505;-48.015859996907
557000.0;8841.0;2;1;1;63.0;-15.834165006333;-48.038544989209
795000.0;8281.0;3;2;2;96.0;-15.84067;-48.02206
745000.0;9085.0;3;2;2;82.0;-15.844432049564;-48.026566190314
820000.0;8118.0;1;2;2;101.0;-15.836495007778;-48.011199994018
1570000.0;10753.0;4;3;3;146.0;-15.84060973365;-48.027706587243
510000.0;8644.0;2;1;1;59.0;-15.84067;-48.02206
489000.0;7920.0;2;1;1;61.0;-15.84067;-48.02206
599000.0;8681.0;2;1;1;69.0;-15.84067;-48.02206
665000.0;8012.0;3;2;2;83.0;-15.84060973365;-48.027706587243
305000.0;9242.0;1;0;0;33.0;-15.834665007812;-48.012055031961
800000.0;8510.0;3;2;2;94.0;-15.836495007778;-48.011199994018
660000.0;7586.0;1;2;2;87.0;-15.831820001282;-48.034634999016
1150000.0;9126.0;3;2;2;126.0;-15.84059;-48.03887
620000.0;9393.0;2;1;1;66.0;-15.83693499483;-48.015079976998
1100000.0;8029.0;3;2;2;137.0;-15.84067;-48.02206
675000.0;7180.0;3;2;2;94.0;-15.838380765547;-48.011476184693
498000.0;7217.0;1;2;2;69.0;-15.838349985815;-48.023145002324
560000.0;6746.0;2;0;0;83.0;-15.84067;-48.02206
615000.0;8200.0;3;2;2;75.0;-15.827749571353;-48.029059288268
480000.0;8727.0;2;1;1;55.0;-15.84067;-48.02206
929900.0;9892.0;3;2;2;94.0;-15.836918381182;-48.039159954942
650000.0;9563.0;2;0;0;67.0;-15.838349985815;-48.023145002324
950000.0;8878.0;3;2;2;107.0;-15.84067;-48.02206
495000.0;7071.0;2;1;1;70.0;-15.83263347211;-48.014091547176
1520000.0;8444.0;4;4;4;180.0;-15.84067;-48.02206
1210000.0;9097.0;3;3;3;133.0;-15.84067;-48.02206
340000.0;10303.0;1;1;1;33.0;-15.84067;-48.02206
543800.0;8607.0;2;2;2;63.0;-15.831239551113;-48.017873882211
1225000.0;8626.0;3;2;2;142.0;-15.833969561015;-48.036708072058
360000.0;8372.0;1;1;1;43.0;-15.836631976279;-48.042906345641
315000.0;9453.0;1;0;0;33.0;-15.834665007812;-48.012055031961
439000.0;9372.0;2;1;1;46.0;-15.836768410907;-48.017797942094
290000.0;8787.0;1;1;1;33.0;-15.836631976279;-48.042906345641
499000.0;9415.0;2;1;1;53.0;-15.836765009834;-48.019485002393
580000.0;9666.0;2;1;1;60.0;-15.838701645321;-48.036807093913
890000.0;10348.0;3;2;2;86.0;-15.834165006333;-48.038544989209
595000.0;8750.0;2;0;0;68.0;-15.838349985815;-48.023145002324
534000.0;9709.0;2;1;1;55.0;-15.839317797727;-48.036046158252
950000.0;7480.0;3;2;2;127.0;-15.832470870366;-48.010341468159
750000.0;10869.0;2;1;1;69.0;-15.838185009006;-48.017989964233
640000.0;8000.0;2;1;1;80.0;-15.832899988551;-48.018114980319
